序号,画面标识,结果,位置,置信度
356,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,394",0.81
357,D:/我的桌面/Video.mp4,Elephant 大象,"7,355,78,407",0.41
358,D:/我的桌面/Video.mp4,Elephant 大象,"414,299,491,405",0.84
359,D:/我的桌面/Video.mp4,Elephant 大象,"227,305,300,391",0.83
360,D:/我的桌面/Video.mp4,Elephant 大象,"148,315,222,396",0.82
361,D:/我的桌面/Video.mp4,Elephant 大象,"532,246,594,312",0.82
362,D:/我的桌面/Video.mp4,Elephant 大象,"7,354,77,405",0.53
363,D:/我的桌面/Video.mp4,Elephant 大象,"99,393,146,433",0.35
364,D:/我的桌面/Video.mp4,Elephant 大象,"414,299,491,404",0.84
365,D:/我的桌面/Video.mp4,Elephant 大象,"226,306,300,391",0.83
366,D:/我的桌面/Video.mp4,Elephant 大象,"149,316,222,397",0.83
367,D:/我的桌面/Video.mp4,Elephant 大象,"532,246,594,312",0.82
368,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,406",0.59
369,D:/我的桌面/Video.mp4,Elephant 大象,"99,393,145,432",0.49
370,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.49
371,D:/我的桌面/Video.mp4,Elephant 大象,"414,299,491,404",0.84
372,D:/我的桌面/Video.mp4,Elephant 大象,"225,306,300,391",0.84
373,D:/我的桌面/Video.mp4,Elephant 大象,"148,315,222,398",0.83
374,D:/我的桌面/Video.mp4,Elephant 大象,"532,246,594,312",0.82
375,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,406",0.63
376,D:/我的桌面/Video.mp4,Elephant 大象,"75,364,113,411",0.56
377,D:/我的桌面/Video.mp4,Elephant 大象,"96,392,146,432",0.52
378,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
379,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
380,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
381,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
382,D:/我的桌面/Video.mp4,Elephant 大象,"6,356,76,409",0.64
383,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
384,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.53
385,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
386,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
387,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
388,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
389,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
390,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
391,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
392,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
393,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
394,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
395,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
396,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
397,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
398,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
399,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
400,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
401,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
402,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
403,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
404,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
405,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
406,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
407,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
408,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
409,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
410,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
411,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
412,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
413,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
414,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
415,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
416,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
417,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
418,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
419,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
420,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
421,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
422,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
423,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
424,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
425,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
426,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
427,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
428,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
429,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
430,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
431,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
432,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
433,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
434,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
435,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
436,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
437,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
438,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
439,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
440,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
441,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
442,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
443,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
444,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
445,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
446,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
447,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
448,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
449,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
450,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
451,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
452,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
453,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
454,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
455,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
456,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
457,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
458,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
459,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
460,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
461,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
462,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
463,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
464,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
465,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
466,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
467,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
468,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
469,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
470,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
471,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
472,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
473,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
474,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
475,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
476,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
477,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
478,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
479,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
480,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
481,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
482,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
483,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
484,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
485,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
486,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
487,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
488,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
489,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
490,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
491,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
492,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
493,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
494,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
495,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
496,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
497,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
498,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
499,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
500,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
501,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
502,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
503,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
504,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
505,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
506,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
507,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
508,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
509,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
510,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
511,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
512,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
513,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
514,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
515,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
516,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
517,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.54
518,D:/我的桌面/Video.mp4,Elephant 大象,"413,299,490,403",0.84
519,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
520,D:/我的桌面/Video.mp4,Elephant 大象,"148,316,222,399",0.83
521,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,594,311",0.81
522,D:/我的桌面/Video.mp4,Elephant 大象,"7,356,76,409",0.64
523,D:/我的桌面/Video.mp4,Elephant 大象,"75,363,113,412",0.55
524,D:/我的桌面/Video.mp4,Elephant 大象,"97,393,145,433",0.53
525,D:/我的桌面/Video.mp4,Elephant 大象,"223,306,300,393",0.84
526,D:/我的桌面/Video.mp4,Elephant 大象,"413,300,490,405",0.84
527,D:/我的桌面/Video.mp4,Elephant 大象,"149,315,222,399",0.83
528,D:/我的桌面/Video.mp4,Elephant 大象,"531,246,593,312",0.81
529,D:/我的桌面/Video.mp4,Elephant 大象,"9,354,77,406",0.62
530,D:/我的桌面/Video.mp4,Elephant 大象,"72,363,113,411",0.54
531,D:/我的桌面/Video.mp4,Elephant 大象,"99,392,145,430",0.51
532,D:/我的桌面/Video.mp4,Elephant 大象,"412,301,486,404",0.84
533,D:/我的桌面/Video.mp4,Elephant 大象,"224,306,300,392",0.84
534,D:/我的桌面/Video.mp4,Elephant 大象,"150,314,223,396",0.84
535,D:/我的桌面/Video.mp4,Elephant 大象,"530,249,590,314",0.79
536,D:/我的桌面/Video.mp4,Elephant 大象,"101,390,146,429",0.53
537,D:/我的桌面/Video.mp4,Elephant 大象,"11,350,78,400",0.50
538,D:/我的桌面/Video.mp4,Elephant 大象,"154,312,226,394",0.85
539,D:/我的桌面/Video.mp4,Elephant 大象,"408,302,480,401",0.84
540,D:/我的桌面/Video.mp4,Elephant 大象,"227,305,301,390",0.82
541,D:/我的桌面/Video.mp4,Elephant 大象,"524,253,584,318",0.77
542,D:/我的桌面/Video.mp4,Elephant 大象,"20,347,89,406",0.69
543,D:/我的桌面/Video.mp4,Elephant 大象,"86,356,121,404",0.30
544,D:/我的桌面/Video.mp4,Elephant 大象,"402,306,470,400",0.83
545,D:/我的桌面/Video.mp4,Elephant 大象,"161,309,229,386",0.81
546,D:/我的桌面/Video.mp4,Elephant 大象,"231,304,300,383",0.81
547,D:/我的桌面/Video.mp4,Elephant 大象,"512,261,572,322",0.80
548,D:/我的桌面/Video.mp4,Elephant 大象,"38,338,102,400",0.44
549,D:/我的桌面/Video.mp4,Elephant 大象,"393,311,456,396",0.82
550,D:/我的桌面/Video.mp4,Elephant 大象,"238,304,302,376",0.80
551,D:/我的桌面/Video.mp4,Elephant 大象,"174,307,236,376",0.80
552,D:/我的桌面/Video.mp4,Elephant 大象,"500,272,550,328",0.70
553,D:/我的桌面/Video.mp4,Elephant 大象,"623,278,640,343",0.38
554,D:/我的桌面/Video.mp4,Elephant 大象,"252,305,305,368",0.78
555,D:/我的桌面/Video.mp4,Elephant 大象,"375,317,429,385",0.78
556,D:/我的桌面/Video.mp4,Elephant 大象,"200,305,253,366",0.70
557,D:/我的桌面/Video.mp4,Elephant 大象,"463,292,507,339",0.52
558,D:/我的桌面/Video.mp4,Tiger 老虎,"0,0,637,569",0.41
559,D:/我的桌面/Video.mp4,goat 山羊,"0,357,638,640",0.29
560,D:/我的桌面/Video.mp4,Monkey 猴子,"92,157,622,639",0.44
561,D:/我的桌面/Video.mp4,Monkey 猴子,"387,0,639,177",0.44
562,D:/我的桌面/Video.mp4,Monkey 猴子,"140,128,541,625",0.61
563,D:/我的桌面/Video.mp4,Monkey 猴子,"99,104,630,630",0.81
564,D:/我的桌面/Video.mp4,Monkey 猴子,"80,97,638,628",0.83
565,D:/我的桌面/Video.mp4,Monkey 猴子,"80,90,638,633",0.81
566,D:/我的桌面/Video.mp4,Monkey 猴子,"88,85,636,633",0.77
567,D:/我的桌面/Video.mp4,Monkey 猴子,"69,82,636,633",0.77
568,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
569,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
570,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
571,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
572,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
573,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
574,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
575,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
576,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
577,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
578,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
579,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
580,D:/我的桌面/Video.mp4,Monkey 猴子,"72,82,636,633",0.77
581,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
582,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
583,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
584,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
585,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
586,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
587,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
588,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
589,D:/我的桌面/Video.mp4,Monkey 猴子,"71,82,636,633",0.77
590,D:/我的桌面/Picture.jpg,Elephant 大象,"0,60,598,615",0.84
